院校名称,省份,专业组名称,投档线,最低投档排名,,,,,,,,,,,,,,,
东北师范大学,吉林,第104组,590,2902,,,,,,,,,,,,,,,
北京科技大学,北京,第101组,601,1834,,,,,,,,,,,,,,,
中国农业大学,北京,第101组,601,1869,,,,,,,,,,,,,,,
暨南大学,广东,第101组,601,1828,,,,,,,,,,,,,,,
深圳大学,广东,第101组,601,1884,,,,,,,,,,,,,,,
陕西师范大学,陕西,第106组,600,1951,,,,,,,,,,,,,,,
陕西师范大学,陕西,第105组,598,2154,,,,,,,,,,,,,,,
陕西师范大学,陕西,第104组,597,2236,,,,,,,,,,,,,,,
北京林业大学,北京,第102组,600,1971,,,,,,,,,,,,,,,
北京林业大学,北京,第101组,597,2214,,,,,,,,,,,,,,,
宁波大学,浙江,第102组,600,1908,,,,,,,,,,,,,,,
宁波大学,浙江,第101组,558,8331,,,,,,,,,,,,,,,
上海大学,上海,第101组,599,2042,,,,,,,,,,,,,,,
上海大学,上海,第102组,591,2814,,,,,,,,,,,,,,,
上海大学,上海,第103组,578,4463,,,,,,,,,,,,,,,
西南财经大学,四川,第101组,599,1989,,,,,,,,,,,,,,,
中国石油大学(北京),北京,第102组,598,2138,,,,,,,,,,,,,,,
中国石油大学(北京),北京,第101组,593,2578,,,,,,,,,,,,,,,
南京理工大学,江苏,第102组,598,2091,,,,,,,,,,,,,,,
南京理工大学,江苏,第101组,590,2891,,,,,,,,,,,,,,,
武汉理工大学,湖北,第103组,598,2128,,,,,,,,,,,,,,,
武汉理工大学,湖北,第101组,592,2685,,,,,,,,,,,,,,,
武汉理工大学,湖北,第102组,589,2981,,,,,,,,,,,,,,,
西北政法大学,陕西,第101组,598,2142,,,,,,,,,,,,,,,
鲁东大学,山东,第101组,543,12525,,,,,,,,,,,,,,,
湖南师范大学,湖南,第103组,597,2227,,,,,,,,,,,,,,,
湖南师范大学,湖南,第101组,590,2838,,,,,,,,,,,,,,,
湖南师范大学,湖南,第104组,589,3040,,,,,,,,,,,,,,,
湖南师范大学,湖南,第102组,577,4541,,,,,,,,,,,,,,,
湖南师范大学,湖南,第106组,574,5050,,,,,,,,,,,,,,,
云南大学,云南,第102组,597,2195,,,,,,,,,,,,,,,
云南大学,云南,第103组,594,2470,,,,,,,,,,,,,,,
云南大学,云南,第101组,578,4369,,,,,,,,,,,,,,,
西北农林科技大学,陕西,第101组,597,2163,,,,,,,,,,,,,,,
南京航空航天大学,江苏,第101组,596,2264,,,,,,,,,,,,,,,
西南交通大学,四川,第102组,596,2322,,,,,,,,,,,,,,,
西南交通大学,四川,第101组,591,2810,,,,,,,,,,,,,,,
华北电力大学(北京),北京,第101组,595,2339,,,,,,,,,,,,,,,
中国矿业大学,江苏,第101组,595,2359,,,,,,,,,,,,,,,
南京审计大学,江苏,第102组,594,2464,,,,,,,,,,,,,,,
南京审计大学,江苏,第101组,591,2804,,,,,,,,,,,,,,,
东北大学秦皇岛分校,河北,第101组,593,2533,,,,,,,,,,,,,,,
东华大学,上海,第101组,593,2563,,,,,,,,,,,,,,,
合肥工业大学,安徽,第102组,593,2520,,,,,,,,,,,,,,,
合肥工业大学,安徽,第101组,586,3407,,,,,,,,,,,,,,,
西北大学,陕西,第102组,593,2540,,,,,,,,,,,,,,,
长安大学,陕西,第102组,593,2527,,,,,,,,,,,,,,,
长安大学,陕西,第101组,587,3283,,,,,,,,,,,,,,,
北京化工大学,北京,第101组,592,2696,,,,,,,,,,,,,,,
中国药科大学,江苏,第101组,592,2690,,,,,,,,,,,,,,,
大连海事大学,辽宁,第101组,591,2811,,,,,,,,,,,,,,,
大连海事大学,辽宁,第102组,589,3026,,,,,,,,,,,,,,,
北京中医药大学,北京,第101组,591,2714,,,,,,,,,,,,,,,
河海大学,江苏,第101组,591,2734,,,,,,,,,,,,,,,
中国地质大学(武汉),湖北,第101组,591,2751,,,,,,,,,,,,,,,
广东外语外贸大学,广东,第102组(政治学类),591,2784,,,,,,,,,,,,,,,
广东外语外贸大学,广东,第101组,578,4414,,,,,,,,,,,,,,,
上海政法学院,上海,第101组,591,2787,,,,,,,,,,,,,,,
上海政法学院,上海,第102组,583,3678,,,,,,,,,,,,,,,
上海政法学院,上海,第104组,576,4671,,,,,,,,,,,,,,,
上海政法学院,上海,第103组,570,5780,,,,,,,,,,,,,,,
郑州大学,河南,第101组,590,2840,,,,,,,,,,,,,,,
郑州大学,河南,第102组,588,3078,,,,,,,,,,,,,,,
广东财经大学,广东,第101组,590,2884,,,,,,,,,,,,,,,
安徽大学,安徽,第101组,589,3015,,,,,,,,,,,,,,,
江西财经大学,江西,第101组,589,2993,,,,,,,,,,,,,,,
江西财经大学,江西,第102组,574,5138,,,,,,,,,,,,,,,
江西财经大学,江西,第105组,570,5830,,,,,,,,,,,,,,,
江西财经大学,江西,第103组,566,6468,,,,,,,,,,,,,,,
江西财经大学,江西,第104组,565,6790,,,,,,,,,,,,,,,
北京体育大学,北京,第104组,588,3080,,,,,,,,,,,,,,,
北京体育大学,北京,第101组,588,3166,,,,,,,,,,,,,,,
北京体育大学,北京,第102组,581,3936,,,,,,,,,,,,,,,
江西警察学院,江西,第102组,543,12550,,,,,,,,,,,,,,,
北京语言大学,北京,第102组,588,3158,,,,,,,,,,,,,,,
北京语言大学,北京,第105组,579,4308,,,,,,,,,,,,,,,
华中农业大学,北京,第101组,588,3099,,,,,,,,,,,,,,,
首都经济贸易大学,北京,第101组,588,3181,,,,,,,,,,,,,,,
上海海事大学,上海,第101组,588,3088,,,,,,,,,,,,,,,
中央美术学院,北京,第101组,588,3178,,,,,,,,,,,,,,,
中央美术学院,北京,第102组,563,7182,,,,,,,,,,,,,,,
辽宁大学,辽宁,第10D组,587,3273,,,,,,,,,,,,,,,
辽宁大学,辽宁,第102组,586,3301,,,,,,,,,,,,,,,
辽宁大学,辽宁,第101组,586,3370,,,,,,,,,,,,,,,
辽宁大学,辽宁,第103组,585,3456,,,,,,,,,,,,,,,
辽宁大学,辽宁,第108组,572,5421,,,,,,,,,,,,,,,
辽宁大学,辽宁,第107组,569,5859,,,,,,,,,,,,,,,
辽宁大学,辽宁,第105组,569,5959,,,,,,,,,,,,,,,
辽宁大学,辽宁,第10B组,563,7237,,,,,,,,,,,,,,,
辽宁大学,辽宁,第106组,561,7687,,,,,,,,,,,,,,,
辽宁大学,辽宁,第104组,561,7719,,,,,,,,,,,,,,,
辽宁大学,辽宁,第10A组,559,8046,,,,,,,,,,,,,,,
辽宁大学,辽宁,第10C组,558,8444,,,,,,,,,,,,,,,
辽宁大学,辽宁,第109组,551,10182,,,,,,,,,,,,,,,
复旦大学医学院,上海,第101组,587,3199,,,,,,,,,,,,,,,
海南大学,海南,第104组,587,3294,,,,,,,,,,,,,,,
海南大学,海南,第105组,582,3877,,,,,,,,,,,,,,,
海南大学,海南,第102组,579,4304,,,,,,,,,,,,,,,
海南大学,海南,第101组,577,4623,,,,,,,,,,,,,,,
海南大学,海南,第106组,545,11934,,,,,,,,,,,,,,,
西北民族大学,甘肃,第102组,543,12558,,,,,,,,,,,,,,,
首都师范大学,北京,第101组,587,3263,,,,,,,,,,,,,,,
上海海关学院,上海,第102组,586,3380,,,,,,,,,,,,,,,
西南大学(荣昌校区),重庆,第101组,586,3410,,,,,,,,,,,,,,,
中国地质大学(北京),北京,第101组,586,3395,,,,,,,,,,,,,,,
华北电力大学(保定),河北,第101组,586,3406,,,,,,,,,,,,,,,
上海对外经贸大学,上海,第101组,586,3325,,,,,,,,,,,,,,,
上海对外经贸大学,上海,第102组,573,5210,,,,,,,,,,,,,,,
中国矿业大学(北京),北京,第101组(文管类),585,3478,,,,,,,,,,,,,,,
哈尔滨工程大学,黑龙江,第102组,585,3501,,,,,,,,,,,,,,,
