序号,院校名称,学校标识码,主管部门,所在地,层次,省市,性质,研究生,共建方,城市级,考研,推免,深造,国内升学,出国,行业隶属,顶尖专业,特色专业,官网,可点击链接
1,北京大学,4111010001,教育部,北京市,本科,北京,985/211,研院/推免,教育部、北京市、国家国防科技工业局、国家海洋局、卫健委,一线,60.31,55.1,71.16%,52.26%,18.90%,,数学与应用数学、信息与计算科学、物理学、化学、生物科学、生物技术、天文学、地理科学、地理信息系统、大气科学、理论与应用力学、电子信息科学与技术、微电子学、材料化学、环境科学、统计学、哲学、逻辑学、汉语言文学、汉语言、古典文献、德语、日语、波斯语、印度尼西亚语、印地语、缅甸语、泰语、乌尔都语、希伯来语、越南语、广告学、编辑出版学、法学、科学社会主义与国际共产主义运动、社会学、社会工作、政治学与行政学、国际政治、工商管理、市场营销、财务管理、人力资源管理、行政管理、公共事业管理、图书馆学、基础医学、预防医学、临床医学、医学检验、口腔医学、药学、世界历史、考古学、博物馆学、经济学、金融学、保险,经济学、法学、西班牙语、阿拉伯语、非通用语种群(印地语、乌尔都语、孟加拉语、梵文、巴利文5个语种)、非通用语种群(蒙古语、菲律宾语、泰国语、波斯语、希伯来语等12个语种)、地质学、微电子学、核技术、软件工程(设5个专业方向)、临床医学(与北京大学第一医院结合)、临床医学(与北京大学人民医院结合)、口腔医学、哲学、信息与计算科学、化学、生物科学、药学、智能科学与技术、保险、城市管理、汉语言文学、世界历史、考古学、预防医学,https://www.pku.edu.cn/,https://www.pku.edu.cn/
2,中国人民大学,4111010002,教育部,北京市,本科,北京,985/211,研院/推免,教育部、北京市,一线,33.43,30.2,64.53%,34.16%,30.37%,劳动部,哲学、经济学、财政学、金融学、贸易经济、工商管理、市场营销、会计学、财务管理、人力资源管理、劳动与社会保障、档案学、法学、科学社会主义与国际共产主义运动、中国革命史与中国共产党党史、社会学、社会工作、政治学与行政学、汉语言文学,金融学、法学、中国革命史与中国共产党党史、新闻学、工商管理、哲学、经济学、社会学、财政学、统计学、档案学,https://www.ruc.edu.cn/,https://www.ruc.edu.cn/
3,清华大学,4111010003,教育部,北京市,本科,北京,985/211,研院/推免,教育部、北京市、国家国防科技工业局、水利部、国家海洋局、卫健委,一线,61.4,58.3,76.60%,63.70%,13.00%,轻工部,高分子材料与工程、材料科学与工程、机械工程及自动化、车辆工程、测控技术与仪器、核工程与核技术、电气工程及其自动化、自动化、电子信息工程、计算机科学与技术、电子科学与技术、生物医学工程、软件工程、建筑学、土木工程、建筑环境与设备工程、给水排水工程、水利水电工程、工程力学、环境工程、数学与应用数学、信息与计算科学、应用物理学、生物科学、生物技术、微电子学、信息管理与信息系统、工业工程、工程管理、工商管理、会计学、临床医学、英语、雕塑、艺术设计学、国际政治,新闻学、艺术设计、微电子学、核工程与核技术、电子信息工程、计算机科学与技术、计算机软件(设5个专业方向)、水利水电工程、化学、自动化、机械工程及自动化、能源动力系统及自动化、建筑学、化学工程与工业、生物工程、数学与应用数学、工程管理、英语、物理学、车辆工程、建筑环境与设备工程,https://www.tsinghua.edu.cn/,https://www.tsinghua.edu.cn/
4,北京交通大学,4111010004,教育部,北京市,本科,北京,211,研院/推免,教育部、交通运输部、北京市、中国国家铁路集团有限公司,一线,39.26,21,58.53%,44.71%,13.82%,水利电力部、铁道部,交通运输、交通工程,通信工程、软件工程(设3个专业方向)、物流管理、交通运输、机械工程及自动化、经济学、计算机科学与技术、土木工程,https://www.bjtu.edu.cn/,https://www.bjtu.edu.cn/
5,北京工业大学,4111010005,北京市,北京市,本科,北京,211,推免,,一线,23.19,7.7,50.72%,28.59%,22.13%,,,信息安全、电子科学与技术、软件工程(设2个专业方向)、机械工程及自动化、材料科学与工程,https://www.bjut.edu.cn/,https://www.bjut.edu.cn/
6,北京航空航天大学,4111010006,工业和信息化部,北京市,本科,北京,985/211,研院/推免,工信部、教育部、中国工程院、北京市,一线,53.1,26.9,69.67%,62.30%,7.37%,航天部,金属材料工程、飞行器设计与工程、飞行器制造工程、飞行器环境与生命保障工程、探测制导与控制技术,电子信息工程、通信工程、软件工程(设3个专业方向)、飞行器设计与工程、飞行器动力工程、数学与应用数学、机械工程及自动化,https://www.buaa.edu.cn/,https://www.buaa.edu.cn/
7,北京理工大学,4111010007,工业和信息化部,北京市,本科,北京,985/211,研院/推免,工信部、教育部、北京市,一线,43.15,23.6,64.51%,53.34%,10.77%,兵器工业总公司,弹药工程与爆炸技术、地面武器机动工程、特种能源工程与烟火技术,软件工程(设3个专业方向)、安全工程、地面武器机动工程、车辆工程、信息对抗技术,https://www.bit.edu.cn/,https://www.bit.edu.cn/
8,北京科技大学,4111010008,教育部,北京市,本科,北京,211,研院/推免,教育部、北京市、国家国防科技工业局,一线,40.88,20,57.02%,49.90%,7.12%,冶金部,矿物资源与工程、冶金工程、无机非金属材料工程、材料物理,安全工程、材料科学与工程、冶金工程、计算机科学与技术、矿物资源工程,https://www.ustb.edu.cn/,https://www.ustb.edu.cn/
9,北方工业大学,4111010009,北京市,北京市,本科,北京,公办,推免,,一线,23.62,2.5,29.26%,22.85%,6.41%,有色金属公司,,自动化,http://www.ncut.edu.cn/,http://www.ncut.edu.cn/
10,北京化工大学,4111010010,教育部,北京市,本科,北京,211,推免,教育部、北京市、应急管理部、国家国防科技工业局、中国石油化工集团有限公司,一线,38.28,16.9,50.41%,42.40%,8.01%,化工部,过程装备与控制工程,化学、工程与工艺、高分子材料与工程、过程装备与控制工程、生物工程,https://www.buct.edu.cn/,https://www.buct.edu.cn/
11,北京工商大学,4111010011,北京市,北京市,本科,北京,公办,推免,,一线,28.38,5.9,33.07%,24.17%,8.90%,轻工部、商业部,,物流管理、金融学,https://www.btbu.edu.cn/,https://www.btbu.edu.cn/
12,北京服装学院,4111010012,北京市,北京市,本科,北京,公办,推免,,一线,6.35,1,17.51%,9.76%,7.75%,纺织部,,艺术设计,https://www.bift.edu.cn/,https://www.bift.edu.cn/
13,北京邮电大学,4111010013,教育部,北京市,本科,北京,211,研院/推免,教育部、北京市、工信部,一线,44.39,20.9,64.02%,49.60%,14.42%,邮电部,通信工程,信息安全、通信工程、计算机科学与技术、电子商务、电子科学与技术,https://www.bupt.edu.cn/,https://www.bupt.edu.cn/
14,北京印刷学院,4111010015,北京市,北京市,本科,北京,共建,,国家广播电视总局、北京市,一线,8.77,,30.71%,25.09%,5.62%,国家出版总署,,印刷工程,https://www.bigc.edu.cn/,https://www.bigc.edu.cn/
15,北京建筑大学,4111010016,北京市,北京市,本科,北京,共建,推免,住房和城乡建设部、北京市,一线,10.21,1.7,25.76%,19.97%,5.79%,,,,https://www.bucea.edu.cn/,https://www.bucea.edu.cn/
16,北京石油化工学院,4111010017,北京市,北京市,本科,北京,公办,,,一线,5.43,,10.93%,,,石油部,,化学工程与工艺,http://www.bipt.edu.cn/,http://www.bipt.edu.cn/
17,北京电子科技学院,4111010018,中央办公厅,北京市,本科,北京,公办,,,一线,40.29,,,,,中央办公厅,,信息安全、电子信息工程,https://www.besti.edu.cn/index.html,https://www.besti.edu.cn/index.html
18,中国农业大学,4111010019,教育部,北京市,本科,北京,985/211,研院/推免,教育部、北京市、农业农村部、水利部,一线,41.6,21.4,59.72%,46.18%,13.54%,农业部,农学、植物保护、动物科学、动物医学、农林经济管理、农村区域发展、生态学、食品科学与工程、食品质量与安全、农业机械化及其自动化、农业建筑环境与能源工程、农业水利工程,农业机械化及其自动化、动物科学、动物医学、环境科学类、化学、农业建筑环境与能源工程、食品质量与安全、农林经济管理,http://www.cau.edu.cn/,http://www.cau.edu.cn/
19,北京农学院,4111010020,北京市,北京市,本科,北京,公办,,,一线,12.79,,24.85%,20.20%,4.65%,,,园艺,https://www.bua.edu.cn/,https://www.bua.edu.cn/
20,北京林业大学,4111010022,教育部,北京市,本科,北京,211,研院/推免,教育部、北京市、国家林业局,一线,31.01,18.1,52.30%,42.44%,9.86%,林业部,林学、森林资源保护与游憩、园林、木材科学与工程、林产化工、资源环境与城乡规划管理,林学、园林、农林经济管理、木材料科学与工程、水土保持与荒漠化防治、生物科学,http://www.bjfu.edu.cn/,http://www.bjfu.edu.cn/
21,北京协和医学院,4111010023,国家卫生健康委员会,北京市,本科,北京,一流学科,研院/推免,,一线,14.04,,,,,卫生部,临床医学,临床医学,http://www.pumc.edu.cn/,http://www.pumc.edu.cn/
22,首都医科大学,4111010025,北京市,北京市,本科,北京,共建,推免,教育部、卫健委、北京市,一线,38.46,17.2,43.94%,40.66%,3.28%,,康复医学,临床医学、口腔医学、护理学、生物医学工程,http://www.ccmu.edu.cn/,http://www.ccmu.edu.cn/
23,北京中医药大学,4111010026,教育部,北京市,本科,北京,211,推免,教育部、北京市、卫健委、国家中医药管理局,一线,46.14,14.4,56.57%,,,中医药管理局,中医学、针灸推拿学、中药学,中医学、中药学、公共事业管理、针灸推拿学,http://www.bucm.edu.cn/,http://www.bucm.edu.cn/
24,北京师范大学,4111010027,教育部,北京市,本科,北京,985/211,研院/推免,教育部、北京市、国家海洋局,一线,39.59,35,62.34%,49.64%,12.70%,,历史学、教育学、学前教育、教育技术学、体育教育、汉语言文学、汉语言、英语、俄语、舞蹈学、地理科学、资源环境与城乡规划管理、地理信息系统、环境科学、公共事业管理、劳动与社会保障,特殊教育、汉语言文学、数学与应用数学、物理学、历史学、生物科学与生物技术、心理学、天文学、国际经济与贸易、影视学、地理科学、体育教育,https://www.bnu.edu.cn/,https://www.bnu.edu.cn/
25,首都师范大学,4111010028,北京市,北京市,本科,北京,一流学科,推免,北京市、教育部,一线,30.88,9.5,28.71%,24.37%,4.34%,,,俄语、美术学,https://www.cnu.edu.cn/,https://www.cnu.edu.cn/
26,首都体育学院,4111010029,北京市,北京市,本科,北京,公办,,,一线,5.6,,10.67%,7.25%,3.41%,,民族传统体育,体育教育,https://www.cupes.edu.cn/,https://www.cupes.edu.cn/
27,北京外国语大学,4111010030,教育部,北京市,本科,北京,211,推免,教育部、中共中央对外联络部、外交部,一线,26.28,20.2,50.33%,30.74%,19.59%,,英语、斯瓦希里语、俄语、德语、阿拉伯语、日语、柬埔寨语、老挝语,西班牙语、阿拉伯语、非通用语种群(波兰语、捷克语、罗马尼亚语、匈牙利语、保加利亚语等18个语种)、非通用语种群(僧伽罗语、土耳其语、斯瓦希里语、豪萨语、希伯来语等17个语种)、英语、德语、俄语、日语,https://www.bfsu.edu.cn/,https://www.bfsu.edu.cn/
28,北京第二外国语学院,4111010031,北京市,北京市,本科,北京,公办,,,一线,7.97,,33.85%,8.46%,25.39%,国家旅游局,,阿拉伯语、日语,https://www.bisu.edu.cn/,https://www.bisu.edu.cn/
29,北京语言大学,4111010032,教育部,北京市,本科,北京,公办,推免,,一线,16.84,10.8,26.07%,17.20%,8.87%,,对外汉语,对外汉语、汉语言、英语、汉语言文学,http://www.blcu.edu.cn/,http://www.blcu.edu.cn/
30,中国传媒大学,4111010033,教育部,北京市,本科,北京,211,推免,教育部、国家广孺电视总局,一线,17.61,10,36.54%,24.43%,12.11%,,新闻学、广播电视新闻学、广告学、传播学、戏剧影视文学、戏剧影视美术设计、广播电视编导、播音与主持艺术,广播电视新闻学、动画、新闻学、播音与主持艺术、广播电视编导、广播电视工程、非通用语种群(尼泊尔语、泰米尔语、斯瓦希里语、孟加拉语4个语种),https://www.cuc.edu.cn/,https://www.cuc.edu.cn/
31,中央财经大学,4111010034,教育部,北京市,本科,北京,211,推免,教育部、北京市、财政部,一线,30.12,15.2,50.40%,28.29%,22.11%,财政部,金融学,保险、统计学、金融学、会计学、财政学、市场营销,http://www.cufe.edu.cn/,http://www.cufe.edu.cn/
32,对外经济贸易大学,4111010036,教育部,北京市,本科,北京,211,推免,教育部、北京市、商务部,一线,22.26,17.9,53.94%,31.01%,22.93%,外经贸部,国际经济与贸易,国际经济与贸易、法学、西班牙语、阿拉伯语、非通用语种群(越南语、朝鲜语、意大利语、葡萄牙语4个语种)、金融学、会计学、市场营销,http://www.uibe.edu.cn/,http://www.uibe.edu.cn/
33,北京物资学院,4111010037,北京市,北京市,本科,北京,公办,,,一线,14.74,,15.20%,,,商业部,,经济学,https://www.bwu.edu.cn/,https://www.bwu.edu.cn/
34,首都经济贸易大学,4111010038,北京市,北京市,本科,北京,公办,推免,,一线,15.02,6.3,43.40%,28.70%,14.70%,,,经济学、劳动与社会保障,https://www.cueb.edu.cn/,https://www.cueb.edu.cn/
35,中国消防救援学院,4111010039,应急管理部,北京市,本科,北京,公办,,,一线,,,,,,,,,https://www.cfri.edu.cn/,https://www.cfri.edu.cn/
36,外交学院,4111010040,外交部,北京市,本科,北京,一流学科,推免,外交部、教育部,一线,20.48,7.8,44.14%,30.86%,13.27%,外交部,外交学,外交学、英语,http://www.cfau.edu.cn/,http://www.cfau.edu.cn/
37,中国人民公安大学,4111010041,公安部,北京市,本科,北京,一流学科,推免,,一线,6.43,1.5,,,,公安部,,侦查学、治安学、安全防范工程,https://www.ppsuc.edu.cn/,https://www.ppsuc.edu.cn/
38,国际关系学院,4111010042,教育部,北京市,本科,北京,公办,推免,,一线,15.89,,,,,,,非通用语种群(印地语、越南语、泰国语、缅甸语4种语种)、法学、传播学,https://www.uir.cn/,https://www.uir.cn/
39,北京体育大学,4111010043,国家体育总局,北京市,本科,北京,211,推免,,一线,18.38,8.7,31.74%,25.29%,6.45%,国家体委,体育教育、运动训练、社会教育、运动人体科学,运动训练、体育教育,https://www.bsu.edu.cn/,https://www.bsu.edu.cn/
40,中央音乐学院,4111010045,教育部,北京市,本科,北京,211,推免,教育部、文化和旅游部,一线,31.11,,51.73%,34.39%,17.34%,文化部,音乐学、作曲与作曲技术理论、音乐表演,音乐表演、音乐学,http://www.ccom.edu.cn/,http://www.ccom.edu.cn/
41,中国音乐学院,4111010046,北京市,北京市,本科,北京,一流学科,推免,文化和旅游部、北京市,一线,22.77,11.4,26.85%,19.55%,7.30%,文化部,,音乐、表演,https://www.ccmusic.edu.cn/,https://www.ccmusic.edu.cn/
42,中央美术学院,4111010047,教育部,北京市,本科,北京,一流学科,推免,教育部、文化和旅游部,一线,14.05,,28.68%,21.07%,7.61%,文化部,绘画、雕塑、美术学、动画,动画、雕塑、中国画,https://www.cafa.edu.cn/,https://www.cafa.edu.cn/
43,中央戏剧学院,4111010048,教育部,北京市,本科,北京,一流学科,推免,教育部、文化和旅游部,一线,7.2,2.5,21.69%,,,文化部,戏剧学、戏剧影视美术设计,表演、戏剧影视文学,http://www.chntheatre.edu.cn/,http://www.chntheatre.edu.cn/
44,中国戏曲学院,4111010049,北京市,北京市,本科,北京,共建,,文化和旅游部、北京市,一线,13.94,,17.99%,14.85%,3.14%,文化部,,表演,https://www.nacta.edu.cn/,https://www.nacta.edu.cn/
45,北京电影学院,4111010050,北京市,北京市,本科,北京,共建,推免,北京市、教育部、国家广播电视总局,一线,9.42,,20.99%,11.86%,9.13%,文化部,,摄影,https://www.bfa.edu.cn/,https://www.bfa.edu.cn/
46,北京舞蹈学院,4111010051,北京市,北京市,本科,北京,公办,,,一线,5.56,,,,,文化部,,舞蹈编导,https://www.bda.edu.cn/,https://www.bda.edu.cn/
47,中央民族大学,4111010052,国家民委,北京市,本科,北京,985/211,推免,国家民委、教育部、中科院、北京市,一线,32.7,15.3,38.75%,26.89%,11.86%,国家民委,中国少数民族语言文学、宗教学,民族学、中国少数民族语言文学、宗教学,https://www.muc.edu.cn/,https://www.muc.edu.cn/
48,中国政法大学,4111010053,教育部,北京市,本科,北京,211,推免,,一线,49.04,23.6,73.12%,67.17%,5.96%,司法部,法学,法学、政治学与行政学、社会学,http://www.cupl.edu.cn/,http://www.cupl.edu.cn/
49,华北电力大学,4111010054,教育部,北京市,本科,北京,211,推免,教育部、国家电网公司、中国南方电网公司、 中国华能集团公司、中国大唐集团公司、中国 华电集团公司、中国国电集团公司、中国电力 投资集团公司,一线,29.78,12,43.71%,39.25%,4.46%,水利电力部,,文学、热能与动力工程、电气工程及其自动化,https://www.ncepu.edu.cn/,https://www.ncepu.edu.cn/
50,中华女子学院,4111011149,中华妇女联合会,北京市,本科,北京,公办,,,一线,7.83,,12.87%,10.67%,2.20%,中华妇女联合会,,社会工作、学前教育,http://www.cwu.edu.cn/,http://www.cwu.edu.cn/
51,北京信息科技大学,4111011232,北京市,北京市,本科,北京,公办,推免,,一线,21.43,1.4,21.23%,,,电子工业部、机械部,,车辆工程,https://www.bistu.edu.cn/,https://www.bistu.edu.cn/
52,中国矿业大学(北京),4111011413,教育部,北京市,本科,北京,211,研院/推免,,一线,28.07,16.6,57.23%,52.02%,5.21%,,,,http://www.cumtb.edu.cn/,http://www.cumtb.edu.cn/
53,中国石油大学(北京),4111011414,教育部,北京市,本科,北京,211,研院/推免,,一线,41.02,25.4,53.14%,48.55%,4.59%,石油部,,,http://www.cup.edu.cn/,http://www.cup.edu.cn/
54,中国地质大学(北京),4111011415,教育部,北京市,本科,北京,211,研院/推免,,一线,45.06,23.8,56.37%,52.03%,4.34%,地质部,,,http://www.cugb.edu.cn/index.action,http://www.cugb.edu.cn/index.action
55,北京联合大学,4111011417,北京市,北京市,本科,北京,公办,,,一线,4.11,,8.44%,,,,,机械工程及自动化、资源环境与城乡规划管理,https://www.buu.edu.cn/,https://www.buu.edu.cn/
56,北京城市学院,4111011418,北京市教委,北京市,本科,北京,民办,,,一线,7.37,,6.30%,3.11%,3.19%,,,,https://www.bcu.edu.cn/,https://www.bcu.edu.cn/
57,中国青年政治学院,4111011625,共青团中央,北京市,本科,北京,共建,,团中央、教育部,一线,25.2,,,,,团中央,,社会工作、思想政治教育,https://www.zytx.org.cn/,https://www.zytx.org.cn/
58,首钢工学院,4111011831,北京市,北京市,本科,北京,公办,,,一线,9,,,,,,,,https://www.bjsgxy.com.cn/,https://www.bjsgxy.com.cn/
59,中国劳动关系学院,4111012453,中华全国总工会,北京市,本科,北京,公办,,,一线,10.11,,11.10%,7.85%,3.25%,中华人民和国总工会,,法学、劳动关系,https://www.culr.edu.cn/,https://www.culr.edu.cn/
60,首都师范大学科德学院,4111013629,北京市教委,北京市,本科,北京,民办,,,一线,0.09,,8.63%,,,,,,http://www.kdcnu.com/,http://www.kdcnu.com/
61,北京工商大学嘉华学院,4111013630,北京市教委,北京市,本科,北京,民办,,,一线,1.85,,31.68%,1.75%,29.93%,,,,http://www.canvard.edu.cn/,http://www.canvard.edu.cn/
62,北京邮电大学世纪学院,4111013901,北京市教委,北京市,本科,北京,民办,,,一线,1.23,,4.01%,1.34%,2.67%,,,,http://www.ccbupt.com/,http://www.ccbupt.com/
63,北京工业大学耿丹学院,4111013904,北京市教委,北京市,本科,北京,民办,,,一线,1.47,,7.79%,1.78%,6.02%,,,,http://www.gengdan.cn/,http://www.gengdan.cn/
64,北京警察学院,4111014019,北京市,北京市,本科,北京,公办,,,一线,,,,,,,,,http://www.bjpc.edu.cn/,http://www.bjpc.edu.cn/
65,北京第二外国语学院中瑞酒店管理学院,4111014201,北京市教委,北京市,本科,北京,民办,,,一线,0.39,,5.90%,0.40%,5.50%,,,,http://www.bhi.edu.cn/,http://www.bhi.edu.cn/
66,中国科学院大学,4111014430,中国科学院,北京市,本科,北京,一流学科,推免,中科院、北京市,一线,65.8,42,93.90%,,,,,,https://www.ucas.ac.cn/,https://www.ucas.ac.cn/
67,中国社会科学院大学,4111014596,中国社会科学院,北京市,本科,北京,公办,推免,,一线,24.82,16.4,51.63%,41.63%,10.00%,,,,https://www.ucass.edu.cn/yxsz/xy.htm,https://www.ucass.edu.cn/yxsz/xy.htm
68,北京工业职业技术学院,4111010853,北京市,北京市,专科,北京,B/示范,,,一线,,,,,,煤炭部,,,http://www.bgy.org.cn/web/home/index,http://www.bgy.org.cn/web/home/index
69,北京信息职业技术学院,4111010857,北京市,北京市,专科,北京,群A/骨干,,,一线,,,,,,,,,http://www.bitc.edu.cn/,http://www.bitc.edu.cn/
70,北京电子科技职业学院,4111010858,北京市,北京市,专科,北京,A/示范,,,一线,,,,,,,,,http://www.dky.bjedu.cn/,http://www.dky.bjedu.cn/
71,北京京北职业技术学院,4111011090,北京市,北京市,专科,北京,公办,,,一线,,,,,,,,,http://www.jbzy.com.cn/,http://www.jbzy.com.cn/
72,北京交通职业技术学院,4111011092,北京市,北京市,专科,北京,公办,,,一线,,,,,,,,,http://www.jtxy.com.cn/,http://www.jtxy.com.cn/
73,北京青年政治学院,4111011626,北京市,北京市,专科,北京,公办,,,一线,,,,,,,,,http://www.bjypc.edu.cn/,http://www.bjypc.edu.cn/
74,北京农业职业学院,4111012448,北京市,北京市,专科,北京,群A/示范,,,一线,,,,,,,,,http://www.bvca.edu.cn/,http://www.bvca.edu.cn/
75,北京政法职业学院,4111012451,北京市,北京市,专科,北京,公办,,,一线,,,,,,,,,http://www.bcpl.cn/,http://www.bcpl.cn/
76,北京财贸职业学院,4111012561,北京市,北京市,专科,北京,C/示范,,,一线,,,,,,,,,http://www.bjczy.edu.cn/,http://www.bjczy.edu.cn/
77,北京北大方正软件职业技术学院,4111012564,北京市教委,北京市,专科,北京,民办,,,一线,,,,,,,,,http://www.pfc.edu.cn/Awebsite/Index.aspx,http://www.pfc.edu.cn/Awebsite/Index.aspx
78,北京经贸职业学院,4111012565,北京市教委,北京市,专科,北京,民办,,,一线,,,,,,,,,http://www.csuedu.com/,http://www.csuedu.com/
79,北京经济技术职业学院,4111012566,北京市教委,北京市,专科,北京,民办,,,一线,,,,,,,,,http://www.bibt.edu.cn/,http://www.bibt.edu.cn/
80,北京戏曲艺术职业学院,4111012567,北京市,北京市,专科,北京,公办,,,一线,,,,,,,,,http://www.bjxx.com.cn/,http://www.bjxx.com.cn/
81,北京汇佳职业学院,4111012568,北京市教委,北京市,专科,北京,民办,,,一线,,,,,,,,,http://www.huijia.edu.cn/sc/about/big-family/lCa,http://www.huijia.edu.cn/sc/about/big-family/lCa
82,北京科技经营管理学院,4111012733,北京市教委,北京市,专科,北京,民办,,,一线,,,,,,,,,http://www.bjjsy1985.cn/index.html,http://www.bjjsy1985.cn/index.html
83,北京科技职业学院,4111013703,北京市教委,北京市,专科,北京,民办,,,一线,,,,,,,,,http://www.5aaa.com/,http://www.5aaa.com/
84,北京培黎职业学院,4111013728,北京市教委,北京市,专科,北京,民办,,,一线,,,,,,,,,http://www.bjpldx.edu.cn,http://www.bjpldx.edu.cn
85,北京经济管理职业学院,4111014073,北京市,北京市,专科,北京,公办,,,一线,,,,,,,,,http://www.biem.edu.cn/,http://www.biem.edu.cn/
86,北京劳动保障职业学院,4111014075,北京市,北京市,专科,北京,群B/骨干,,,一线,,,,,,,,,http://www.bvclss.cn,http://www.bvclss.cn
87,北京社会管理职业学院,4111014139,北京市,北京市,专科,北京,公办,,,一线,,,,,,,,,http://www.bcsa.edu.cn/,http://www.bcsa.edu.cn/
88,北京艺术传媒职业学院,4111014140,北京市教委,北京市,专科,北京,民办,,,一线,,,,,,,,,http://www.bjamu.cn/,http://www.bjamu.cn/
89,北京体育职业学院,4111014215,北京市,北京市,专科,北京,公办,,,一线,,,,,,,,,http://www.bjtzhy.org/,http://www.bjtzhy.org/
90,北京交通运输职业学院,4111014279,北京市,北京市,专科,北京,群C,,,一线,,,,,,,,,http://www.bjjt.edu.cn/,http://www.bjjt.edu.cn/
91,北京卫生职业学院,4111014395,北京市,北京市,专科,北京,公办,,,一线,,,,,,,,,http://www.bjwszyxy.com/,http://www.bjwszyxy.com/
92,北京网络职业学院,4111014588,北京市教委,北京市,专科,北京,民办,,,一线,,,,,,,,,http://www.bjwlxy.org.cn/,http://www.bjwlxy.org.cn/
93,南开大学,4112010055,教育部,天津市,本科,天津,985/211,研院/推免,教育部、天津市,新一线,38.13,24.5,56.17%,43.14%,13.03%,外经贸部,数学与应用数学、光信息科学与技术、统计学、市场营销、财务管理、物流管理、政治学与行政学、英语、历史学、世界历史、经济学、国际经济与贸易、金融学、金融工程,金融学、工商管理、中国语言文学类、经济学、生物技术、软件工程、人力资源管理、哲学、历史学、化学,https://www.nankai.edu.cn/,https://www.nankai.edu.cn/
94,天津大学,4112010056,教育部,天津市,本科,天津,985/211,研院/推免,教育部、天津市、国家国防科技工业局、水利部、国家海洋局,新一线,42.1,23.1,55.36%,43.22%,12.14%,,信息管理与信息系统、工程管理、测控技术与仪器、建筑学、城市规划、化学工程与工艺、制药工程、物流工程,电子信息工程、电子科学与技术、港口航道与海岸工程、工商管理、化学工程与工艺、建筑学、测控技术与仪器、工程管理、电气工程及其自动化、数学与应用数学、材料科学与工程、机械设计制造及其自动化、木工程、制药工程、船舶与海洋工程,http://www.tju.edu.cn/,http://www.tju.edu.cn/
95,天津科技大学,4112010057,天津市,天津市,本科,天津,公办,推免,,新一线,35.72,2,15.83%,13.48%,2.35%,轻工部,,食品科学与工程、包装工程,https://www.tust.edu.cn/,https://www.tust.edu.cn/
96,天津工业大学,4112010058,天津市,天津市,本科,天津,一流学科,推免,天津市、教育部、国防科技工业局,新一线,13.28,5.1,20.59%,17.82%,2.77%,纺织部,,纺织工程、材料科学与工程,https://www.tjpu.edu.cn/,https://www.tjpu.edu.cn/
97,中国民航大学,4112010059,交通运输部(中国民用航空局),天津市,本科,天津,共建,推免,中国民用航空局、教育部、天津市,新一线,7.46,1,23.64%,21.45%,2.19%,民用航空总局,,交通运输、飞行器动力工程,https://www.cauc.edu.cn/zhv3/,https://www.cauc.edu.cn/zhv3/
98,天津理工大学,4112010060,天津市,天津市,本科,天津,公办,推免,,新一线,8.72,1.4,16.63%,14.36%,2.27%,,,计算机科学与技术、材料物理,https://www.tjut.edu.cn/,https://www.tjut.edu.cn/
99,天津农学院,4112010061,天津市,天津市,本科,天津,公办,,,新一线,9.92,,14.53%,14.26%,0.27%,,,农学、水产养殖学,https://www.tjau.edu.cn/,https://www.tjau.edu.cn/
100,天津医科大学,4112010062,天津市,天津市,本科,天津,211,推免,教育部、卫健委、天津市,新一线,37.61,13.9,55.85%,54.50%,1.35%,,,临床医学、药学,http://www.tmu.edu.cn/,http://www.tmu.edu.cn/
101,天津中医药大学,4112010063,天津市,天津市,本科,天津,一流学科,推免,天津市、教育部、国家中医药管理局,新一线,26.2,,29.60%,,,,,中医学、中药学,https://news13.tjutcm.edu.cn/c2015.htm,https://news13.tjutcm.edu.cn/c2015.htm
102,天津师范大学,4112010065,天津市,天津市,本科,天津,公办,推免,,新一线,10.75,3.8,15.33%,,,,,思想政治教育、新闻学、应用心理学、小学教育,http://www.tjnu.edu.cn/,http://www.tjnu.edu.cn/
103,天津职业技术师范大学,4112010066,天津市,天津市,本科,天津,共建,,天津市、教育部,新一线,12.35,,4.95%,,,劳动部,,机械制造工艺、教育自动化,https://www.tute.edu.cn/,https://www.tute.edu.cn/
104,天津外国语大学,4112010068,天津市,天津市,本科,天津,公办,推免,,新一线,10.63,2.1,20.10%,12.00%,8.10%,,,斯瓦希里语,http://www.tjfsu.edu.cn/,http://www.tjfsu.edu.cn/
105,天津商业大学,4112010069,天津市,天津市,本科,天津,公办,推免,,新一线,7.74,1.3,15.59%,10.04%,5.55%,商业部,,旅游管理、热能与动力工程,https://www.tjcu.edu.cn/,https://www.tjcu.edu.cn/
106,天津财经大学,4112010070,天津市,天津市,本科,天津,公办,推免,,新一线,10.8,,22.86%,15.61%,7.25%,,,会计学、金融学,http://www.tjufe.edu.cn/,http://www.tjufe.edu.cn/
107,天津体育学院,4112010071,天津市,天津市,本科,天津,公办,推免,,新一线,10.77,3.1,12.30%,11.57%,0.73%,,,社会体育,http://www.tjus.edu.cn/,http://www.tjus.edu.cn/
108,天津音乐学院,4112010072,天津市,天津市,本科,天津,公办,,,新一线,6.93,,10.45%,,,,,音乐学,https://www.tjcm.edu.cn/,https://www.tjcm.edu.cn/
