序号,院校名称,学校标识码,主管部门,所在地,层次,省市,性质,研究生,共建方,城市级,考研,推免,深造,国内升学,出国,行业隶属,顶尖专业,特色专业,官网,可点击链接
1200,福州软件职业技术学院,4135013978,福建省教育厅,福州市,专科,福建,民办,,,二线,,,,,,,,,http://www.fzrjxy.com/,http://www.fzrjxy.com/
1201,厦门兴才职业技术学院,4135013979,福建省教育厅,厦门市,专科,福建,民办,,,二线,,,,,,,,,http://www.xmxc.com/,http://www.xmxc.com/
1202,厦门软件职业技术学院,4135014059,福建省教育厅,厦门市,专科,福建,民办,,,二线,,,,,,,,,http://www.xmist.edu.cn/,http://www.xmist.edu.cn/
1203,福建体育职业技术学院,4135014060,福建省,福州市,专科,福建,公办,,,二线,,,,,,,,,http://www.fjipe.cn/new/,http://www.fjipe.cn/new/
1204,漳州城市职业学院,4135014110,福建省,漳州市,专科,福建,公办,,,三线,,,,,,,,,http://www.zcvc.cn/,http://www.zcvc.cn/
1205,厦门南洋职业学院,4135014111,福建省教育厅,厦门市,专科,福建,民办,,,二线,,,,,,,,,http://www.ny2000.com/,http://www.ny2000.com/
1206,厦门东海职业技术学院,4135014112,福建省教育厅,厦门市,专科,福建,民办,,,二线,,,,,,,,,http://www.xmdh.com/,http://www.xmdh.com/
1207,漳州科技职业学院,4135014113,福建省教育厅,漳州市,专科,福建,民办,,,三线,,,,,,,,,http://www.tftc.edu.cn/,http://www.tftc.edu.cn/
1208,漳州理工职业学院,4135014115,福建省教育厅,漳州市,专科,福建,民办,,,三线,,,,,,,,,http://www.zzlg.org/,http://www.zzlg.org/
1209,武夷山职业学院,4135014116,福建省教育厅,南平市,专科,福建,民办,,,四线,,,,,,,,,http://www.wyszyxy.com/,http://www.wyszyxy.com/
1210,漳州卫生职业学院,4135014117,福建省,漳州市,专科,福建,公办,,,三线,,,,,,,,,http://www.zzwzy.com/,http://www.zzwzy.com/
1211,泉州海洋职业学院,4135014231,福建省教育厅,泉州市,专科,福建,民办,,,二线,,,,,,,,,http://www.qzoiedu.com/,http://www.qzoiedu.com/
